事例:Athens Greece Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.7137669920921326
事例:Islamabad Pakistan Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.7879178524017334
事例:Islamabad Pakistan Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.7616327404975891
事例:Islamabad Pakistan Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.7534359693527222
事例:Islamabad Pakistan Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.7958503365516663
事例:Islamabad Pakistan Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.6935102939605713
事例:Kabul Afghanistan London England, 正解単語:England, 求めた単語・類似度:EURASIAN_NATURAL_RESOURCES_CORP.・0.5547584891319275
事例:Kabul Afghanistan Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.6156005263328552
事例:Kabul Afghanistan Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.7199913263320923
事例:Kabul Afghanistan Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.5757439732551575
事例:Kabul Afghanistan Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Ontario・0.551449179649353
事例:Kabul Afghanistan Paris France, 正解単語:France, 求めた単語・類似度:France・0.6088168621063232
事例:Kabul Afghanistan Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.537543773651123
事例:Kabul Afghanistan Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.5849065184593201
事例:Kabul Afghanistan Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.7807148098945618
事例:Kabul Afghanistan Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.6695031523704529
事例:Kabul Afghanistan Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.5494598746299744
事例:Kabul Afghanistan Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Iraq・0.860798180103302
事例:Kabul Afghanistan Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.6891651153564453
事例:Kabul Afghanistan Beijing China, 正解単語:China, 求めた単語・類似度:China・0.6837893128395081
事例:Kabul Afghanistan Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.6105466485023499
事例:Kabul Afghanistan Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Bern_NC・0.4233846962451935
事例:Kabul Afghanistan Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.6705425977706909
事例:Kabul Afghanistan Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Mr_Rudd・0.6034547686576843
事例:Kabul Afghanistan Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Vietnam・0.7514270544052124
事例:Kabul Afghanistan Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.7205935120582581
事例:Kabul Afghanistan Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.5768634080886841
事例:Kabul Afghanistan Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7463313341140747
事例:London England Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.6087851524353027
事例:London England Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.6502718329429626
事例:London England Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.5689429640769958
事例:London England Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.5256192088127136
事例:London England Paris France, 正解単語:France, 求めた単語・類似度:France・0.6676377654075623
事例:London England Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.5715967416763306
事例:London England Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.6610991358757019
事例:London England Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.6443779468536377
事例:London England Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.6889491081237793
事例:London England Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.5293722152709961
事例:London England Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Iraqi・0.5854012370109558
事例:London England Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.6264095306396484
事例:London England Beijing China, 正解単語:China, 求めた単語・類似度:China・0.6181187033653259
事例:London England Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.5952338576316833
事例:London England Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Hanover・0.45303669571876526
事例:London England Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.5641492009162903
事例:London England Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.6054890751838684
事例:London England Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.5810424089431763
事例:London England Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.5627489686012268
事例:London England Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.621544599533081
事例:London England Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.6654638051986694
事例:London England Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.5733119249343872
事例:Madrid Spain Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.8136780858039856
事例:Madrid Spain Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.7230186462402344
事例:Madrid Spain Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.6814808249473572
事例:Madrid Spain Paris France, 正解単語:France, 求めた単語・類似度:France・0.7609949111938477
事例:Madrid Spain Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.7004685997962952
事例:Madrid Spain Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.7822341918945312
事例:Madrid Spain Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.7588755488395691
事例:Madrid Spain Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.8010955452919006
事例:Madrid Spain Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6898480653762817
事例:Madrid Spain Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Mosul・0.657950222492218
事例:Madrid Spain Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.7701380252838135
事例:Madrid Spain Beijing China, 正解単語:China, 求めた単語・類似度:China・0.7744125127792358
事例:Madrid Spain Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7501678466796875
事例:Madrid Spain Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.4854031801223755
事例:Madrid Spain Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.7326660752296448
事例:Madrid Spain Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.7068917751312256
事例:Madrid Spain Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.7359681725502014
事例:Madrid Spain Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.7222689390182495
事例:Madrid Spain Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.7638068199157715
事例:Madrid Spain Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7176594138145447
事例:Madrid Spain Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Herat・0.6163390874862671
事例:Madrid Spain London England, 正解単語:England, 求めた単語・類似度:Britain・0.6784725189208984
事例:Moscow Russia Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.7606368660926819
事例:Moscow Russia Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.7216339707374573
事例:Moscow Russia Paris France, 正解単語:France, 求めた単語・類似度:France・0.8050409555435181
事例:Moscow Russia Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.7074911594390869
事例:Moscow Russia Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.8054226040840149
事例:Moscow Russia Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.8776858448982239
事例:Moscow Russia Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.8773881793022156
事例:Moscow Russia Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6744523048400879
事例:Moscow Russia Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Mosul・0.7155515551567078
事例:Moscow Russia Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.8425170183181763
事例:Moscow Russia Beijing China, 正解単語:China, 求めた単語・類似度:China・0.8687476515769958
事例:Moscow Russia Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7774251699447632
事例:Moscow Russia Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.4851691424846649
事例:Moscow Russia Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.8018569946289062
事例:Moscow Russia Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.7593482136726379
事例:Moscow Russia Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.7691516876220703
事例:Moscow Russia Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.7886744141578674
事例:Moscow Russia Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.777961254119873
事例:Moscow Russia Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.8369842767715454
事例:Moscow Russia Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.720855176448822
事例:Moscow Russia London England, 正解単語:England, 求めた単語・類似度:Britain・0.7028806805610657
事例:Moscow Russia Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7905083894729614
事例:Oslo Norway Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.680922269821167
事例:Oslo Norway Paris France, 正解単語:France, 求めた単語・類似度:France・0.7315605282783508
事例:Oslo Norway Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.6817960143089294
事例:Oslo Norway Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.8222189545631409
事例:Oslo Norway Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.7522603273391724
事例:Oslo Norway Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.7785906791687012
事例:Oslo Norway Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.631377100944519
事例:Oslo Norway Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Mosul・0.6509431600570679
事例:Oslo Norway Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.7387948036193848
事例:Oslo Norway Beijing China, 正解単語:China, 求めた単語・類似度:China・0.7163817286491394
事例:Oslo Norway Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7219190001487732
事例:Oslo Norway Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.5127913355827332
事例:Oslo Norway Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.6662337779998779
事例:Oslo Norway Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.6750895977020264
事例:Oslo Norway Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.6644774675369263
事例:Oslo Norway Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.6874871253967285
事例:Oslo Norway Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.7806000113487244
事例:Oslo Norway Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7272923588752747
事例:Oslo Norway Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.6326095461845398
事例:Oslo Norway London England, 正解単語:England, 求めた単語・類似度:Britain・0.6456331610679626
事例:Oslo Norway Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7302021384239197
事例:Oslo Norway Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.7961565256118774
事例:Ottawa Canada Paris France, 正解単語:France, 求めた単語・類似度:France・0.6939915418624878
事例:Ottawa Canada Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.6293003559112549
事例:Ottawa Canada Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.6766181588172913
事例:Ottawa Canada Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.7350882291793823
事例:Ottawa Canada Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.7678512930870056
事例:Ottawa Canada Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6065006256103516
事例:Ottawa Canada Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Mosul・0.6319441795349121
事例:Ottawa Canada Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.7114494442939758
事例:Ottawa Canada Beijing China, 正解単語:China, 求めた単語・類似度:China・0.7349015474319458
事例:Ottawa Canada Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7051476240158081
事例:Ottawa Canada Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.5049156546592712
事例:Ottawa Canada Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.6439141035079956
事例:Ottawa Canada Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.7822460532188416
事例:Ottawa Canada Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.6644910573959351
事例:Ottawa Canada Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.6701314449310303
事例:Ottawa Canada Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.6524146795272827
事例:Ottawa Canada Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.689796507358551
事例:Ottawa Canada Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.5671026110649109
事例:Ottawa Canada London England, 正解単語:England, 求めた単語・類似度:UK・0.6362294554710388
事例:Ottawa Canada Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7073505520820618
事例:Ottawa Canada Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.7822917103767395
事例:Ottawa Canada Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.6731111407279968
事例:Paris France Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.714356005191803
事例:Paris France Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.7924454212188721
事例:Paris France Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.7771148681640625
事例:Paris France Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.8167770504951477
事例:Paris France Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6378624439239502
事例:Paris France Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Mosul・0.6609416604042053
事例:Paris France Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.750830888748169
事例:Paris France Beijing China, 正解単語:China, 求めた単語・類似度:China・0.7644792795181274
事例:Paris France Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7901254892349243
事例:Paris France Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.48789724707603455
事例:Paris France Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.7062106728553772
事例:Paris France Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.7059869170188904
事例:Paris France Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.7121440172195435
事例:Paris France Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.7165151834487915
事例:Paris France Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.7654452323913574
事例:Paris France Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7565770745277405
事例:Paris France Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.6692334413528442
事例:Paris France London England, 正解単語:England, 求めた単語・類似度:Britain・0.7368935346603394
事例:Paris France Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7776164412498474
事例:Paris France Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.834155797958374
事例:Paris France Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.7406579852104187
事例:Paris France Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.6765266060829163
事例:Rome Italy Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.7650185823440552
事例:Rome Italy Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.7223957180976868
事例:Rome Italy Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.7659537196159363
事例:Rome Italy Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6582207679748535
事例:Rome Italy Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Iraqi・0.6279987096786499
事例:Rome Italy Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.736771285533905
事例:Rome Italy Beijing China, 正解単語:China, 求めた単語・類似度:China・0.7384491562843323
事例:Rome Italy Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7924450039863586
事例:Rome Italy Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.5860611796379089
事例:Rome Italy Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.6917356848716736
事例:Rome Italy Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.7035335302352905
事例:Rome Italy Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.6718668937683105
事例:Rome Italy Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.6652558445930481
事例:Rome Italy Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.7448440194129944
事例:Rome Italy Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7375874519348145
事例:Rome Italy Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.6492578983306885
事例:Rome Italy London England, 正解単語:England, 求めた単語・類似度:UK・0.6230568885803223
事例:Rome Italy Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7485760450363159
事例:Rome Italy Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.7561044692993164
事例:Rome Italy Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.7140565514564514
事例:Rome Italy Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.6508230566978455
事例:Rome Italy Paris France, 正解単語:France, 求めた単語・類似度:France・0.7486129403114319
事例:Stockholm Sweden Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.7674084901809692
事例:Stockholm Sweden Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.8198505640029907
事例:Stockholm Sweden Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6445162892341614
事例:Stockholm Sweden Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Mosul・0.674405574798584
事例:Stockholm Sweden Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.7606315612792969
事例:Stockholm Sweden Beijing China, 正解単語:China, 求めた単語・類似度:China・0.7469374537467957
事例:Stockholm Sweden Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7917512655258179
事例:Stockholm Sweden Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.5347193479537964
事例:Stockholm Sweden Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.7208700180053711
事例:Stockholm Sweden Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.6957679986953735
事例:Stockholm Sweden Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.6892715096473694
事例:Stockholm Sweden Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.730288028717041
事例:Stockholm Sweden Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.8304910063743591
事例:Stockholm Sweden Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7434418797492981
事例:Stockholm Sweden Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.6353626847267151
事例:Stockholm Sweden London England, 正解単語:England, 求めた単語・類似度:Britain・0.6828158497810364
事例:Stockholm Sweden Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7796702980995178
事例:Stockholm Sweden Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.821164071559906
事例:Stockholm Sweden Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.7942281365394592
事例:Stockholm Sweden Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.6786275506019592
事例:Stockholm Sweden Paris France, 正解単語:France, 求めた単語・類似度:France・0.7826051712036133
事例:Stockholm Sweden Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.7247942090034485
事例:Tehran Iran Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.7860097885131836
事例:Tehran Iran Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6574969291687012
事例:Tehran Iran Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Iraq・0.775810718536377
事例:Tehran Iran Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.8036009073257446
事例:Tehran Iran Beijing China, 正解単語:China, 求めた単語・類似度:China・0.8198246955871582
事例:Tehran Iran Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.6948080658912659
事例:Tehran Iran Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:coach_Bobby_Curlings・0.5130249857902527
事例:Tehran Iran Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.8029149174690247
事例:Tehran Iran Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.7018478512763977
事例:Tehran Iran Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.7534171938896179
事例:Tehran Iran Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.8335038423538208
事例:Tehran Iran Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.6951574683189392
事例:Tehran Iran Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.8478929996490479
事例:Tehran Iran Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.7277182936668396
事例:Tehran Iran London England, 正解単語:England, 求めた単語・類似度:Britain・0.6258982419967651
事例:Tehran Iran Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7075908184051514
事例:Tehran Iran Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.8626426458358765
事例:Tehran Iran Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.7017198204994202
事例:Tehran Iran Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.6508046388626099
事例:Tehran Iran Paris France, 正解単語:France, 求めた単語・類似度:France・0.680817186832428
事例:Tehran Iran Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.6060930490493774
事例:Tehran Iran Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.7119142413139343
事例:Tokyo Japan Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6701824069023132
事例:Tokyo Japan Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Iraq・0.700536847114563
事例:Tokyo Japan Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.8329715132713318
事例:Tokyo Japan Beijing China, 正解単語:China, 求めた単語・類似度:China・0.8427805304527283
事例:Tokyo Japan Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7607141733169556
事例:Tokyo Japan Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.48349660634994507
事例:Tokyo Japan Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.7604711651802063
事例:Tokyo Japan Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.7408984303474426
事例:Tokyo Japan Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.7667807936668396
事例:Tokyo Japan Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.766819417476654
事例:Tokyo Japan Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.7938802242279053
事例:Tokyo Japan Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7943655252456665
事例:Tokyo Japan Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghanistan・0.6684215068817139
事例:Tokyo Japan London England, 正解単語:England, 求めた単語・類似度:Britain・0.7236440181732178
事例:Tokyo Japan Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7904621958732605
事例:Tokyo Japan Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.8863135576248169
事例:Tokyo Japan Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.7558910250663757
事例:Tokyo Japan Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.7142959237098694
事例:Tokyo Japan Paris France, 正解単語:France, 求めた単語・類似度:France・0.7889978885650635
事例:Tokyo Japan Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.6944941878318787
事例:Tokyo Japan Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.8109343647956848
事例:Tokyo Japan Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.8259533047676086
